matchId,teamName1,teamName2,scheduleDate
1,MI,CSK,2020-08-29 00:10:00
2,DC,KXIP,2020-08-29 00:15:00
3,RCB,KKR,2020-08-29 00:20:00
4,SRH,MI,2020-08-29 00:25:00
5,CSK,RR,2020-09-22 20:0:00
6,KKR,DC,2020-09-23 20:0:00
7,KXIP,SRH,2020-09-24 20:0:00
8,MI,RCB,2020-09-25 20:0:00
9,RR,DC,2020-09-26 20:0:00
10,KKR,CSK,2020-09-27 16:0:00
11,RCB,SRH,2020-09-27 20:0:00
12,KXIP,MI,2020-09-28 20:0:00
13,RR,KKR,2020-09-29 20:0:00
14,DC,RCB,2020-09-30 20:0:00
15,CSK,KXIP,2020-10-01 20:0:00
16,SRH,RR,2020-10-02 20:0:00
17,KKR,MI,2020-10-03 20:0:00
18,DC,CSK,2020-10-04 16:0:00
19,KXIP,RCB,2020-10-04 20:0:00
20,MI,RR,2020-10-05 20:0:00
21,SRH,KKR,2020-10-06 20:0:00
22,KXIP,CSK,2020-10-07 20:0:00
23,RCB,RR,2020-10-08 20:0:00
24,DC,KKR,2020-10-09 20:0:00
25,CSK,SRH,2020-10-10 20:0:00
26,MI,KXIP,2020-10-11 16:0:00
27,RR,SRH,2020-10-11 20:0:00
28,RCB,DC,2020-10-12 20:0:00
29,KKR,KXIP,2020-10-13 20:0:00
30,CSK,MI,2020-10-14 20:0:00
31,RR,RCB,2020-10-15 20:0:00
32,KXIP,KKR,2020-10-16 20:0:00
33,SRH,DC,2020-10-17 20:0:00
34,CSK,RCB,2020-10-18 16:0:00
35,MI,KKR,2020-10-18 20:0:00
36,RR,KXIP,2020-10-19 20:0:00
37,SRH,CSK,2020-10-20 20:0:00
38,MI,DC,2020-10-21 20:0:00
39,KKR,RR,2020-10-22 20:0:00
40,RCB,KXIP,2020-10-23 20:0:00
41,DC,SRH,2020-10-24 20:0:00
42,RR,CSK,2020-10-25 16:0:00
43,SRH,RCB,2020-10-25 20:0:00
44,DC,MI,2020-10-26 20:0:00
45,CSK,KKR,2020-10-27 20:0:00
46,KXIP,RR,2020-10-28 20:0:00
47,MI,SRH,2020-10-29 20:0:00
48,CSK,DC,2020-10-30 20:0:00
49,KKR,RCB,2020-10-31 20:0:00
50,RR,MI,2020-11-01 16:0:00
51,SRH,KXIP,2020-11-01 20:0:00
52,DC,RR,2020-11-02 20:0:00
53,RCB,CSK,2020-11-03 20:0:00
54,KKR,SRH,2020-11-04 20:0:00
55,KXIP,DC,2020-11-05 20:0:00
56,RCB,MI,2020-11-06 20:0:00
57,TBD,TBD,2020-11-07 20:0:00
58,TBD,TBD,2020-11-08 20:0:00
59,TBD,TBD,2020-11-09 20:0:00
60,TBD,TBD,2020-11-10 20:0:00