playerId,playerName,teamName
1,MS Dhoni,CSK
2,Suresh Raina,CSK
3,Ambati Rayudu,CSK
4,Shane Watson,CSK
5,Faf du Plessis,CSK
6,Murali Vijay,CSK
7,Kedar Jadhav,CSK
8,Ravindra Jadeja,CSK
9,Rituraj Gaikwad,CSK
10,Dwayne Bravo,CSK
11,Karn Sharma,CSK
12,Imran Tahir,CSK
13,Harbhajan Singh,CSK
14,Mitchell Santner,CSK
15,Shardul Thakur,CSK
16,KM Asif,CSK
17,Deepak Chahar,CSK
18,N Jagadeesan,CSK
19,Lungi Ngidi,CSK
20,Monu Singh,CSK
21,Sam Curran,CSK
22,Piyush Chawla,CSK
23,Josh Hazlewood,CSK
24,R Sai Kishore,CSK
25,Shikhar Dhawan,DC
26,Prithivi Shaw,DC
27,Shreyas Iyer,DC
28,Rishabh Pant,DC
29,Axar Patel,DC
30,Amit Mishra,DC
31,Ishant Sharma,DC
32,Harshal Patel,DC
33,Avesh Khan,DC
34,R Ashwin,DC
35,Ajinkya Rahane,DC
36,Kagiso Rabada,DC
37,Keemo Paul,DC
38,Sandeep Lamichhane,DC
39,Jason Roy,DC
40,Chris Woakes,DC
41,Alex Carey,DC
42,Shimron Hetmyer,DC
43,Mohit Sharma,DC
44,Tushar Deshpande,DC
45,Marcus Stoinis,DC
46,Lalit Yadav,DC
47,KL Rahul,KXIP
48,Karun Nair,KXIP
49,Mohammed Shami,KXIP
50,Nicholas Pooran,KXIP
51,Mujeeb ur Rahman,KXIP
52,Chris Gayle,KXIP
53,Mandeep Singh,KXIP
54,Mayank Agarwal,KXIP
55,Hardus Viljoen,KXIP
56,Darshan Nalkande,KXIP
57,Sarfaraz Khan ,KXIP
58,Arshdeep Singh,KXIP
59,Harpreet Brar,KXIP
60,Murugan Ashwin,KXIP
61,K Gowtham,KXIP
62,J Suchith,KXIP
63,Glenn Maxwell,KXIP
64,Sheldon Cottrell,KXIP
65,Deepak Hooda,KXIP
66,Inshan Porel,KXIP
67,Ravi Bishnoi,KXIP
68,James Neesham,KXIP
69,Chris Jordan,KXIP
70,Tajinder Dhillon,KXIP
71,Prabhsimran Singh,KXIP
72,Dinesh Karthik,KKR
73,Andre Russell,KKR
74,Sunil Narine,KKR
75,Kuldeep Yadav,KKR
76,Shubman Gill,KKR
77,Lockie Ferguson,KKR
78,Nitish Rana,KKR
79,Rinku Singh,KKR
80,Prasidh Krishna,KKR
81,Sandeep Warrier,KKR
82,Harry Gurney,KKR
83,K Nagarkoti,KKR
84,Shivam Mavi,KKR
85,Siddhesh Lad,KKR
86,Eoin Morgan,KKR
87,Pat Cummins,KKR
88,Rahul Tripathi,KKR
89,Varun Chakravarthy,KKR
90,M Siddharth,KKR
91,Chris Green,KKR
92,Tom Banton,KKR
93,Pravin Tambe,KKR
94,Nikhil Naik,KKR
95,Rohit Sharma,MI
96,Hardik Pandya,MI
97,Jasprit Bumrah,MI
98,Krunal Pandya,MI
99,Ishan Kishan,MI
100,Surya Kumar Yadav,MI
101,Rahul Chahar,MI
102,Anmolpreet Singh,MI
103,Jayant Yadav,MI
104,Aditya Tare,MI
105,Anukul Roy,MI
106,Dhawal Kulkarni,MI
107,Quinton de Kock,MI
108,Kieron Pollard,MI
109,Sherfane Rutherford,MI
110,Lasith Malinga,MI
111,M McClenaghan,MI
112,Trent Boult,MI
113,Chris Lynn,MI
114,Nathan Coulter-Nile,MI
115,Saurabh Tiwary,MI
116,Mohsin Khan,MI
117,Digvijay Deshmukh,MI
118,Balwant Rai Singh,MI
119,Steve Smith,RR
120,Sanju Samson,RR
121,Jofra Archer,RR
122,Ben Stokes,RR
123,Jos Buttler,RR
124,Riyan Parag,RR
125,Shashank Singh,RR
126,Shreyas Gopal,RR
127,Mahipal Lomror,RR
128,Varun Aaron,RR
129,Manan Vohra,RR
130,Ankit Rajpoot,RR
131,Mayank Markande,RR
132,Rahul Tewatia,RR
133,Robin Uthappa,RR
134,Jaydev Unadkat,RR
135,Yashasvi Jaiswal,RR
136,Anuj Rawat,RR
137,Akash Singh,RR
138,Kartik Tyagi,RR
139,David Miller,RR
140,Oshane Thomas,RR
141,Aniruddha Joshi,RR
142,Tom Curran,RR
143,Andrew Tye,RR
144,Virat Kohli,RCB
145,Moeen Ali,RCB
146,Yuzvendra Chahal,RCB
147,AB de Villiers,RCB
148,Parthiv Patel,RCB
149,Mohammed Siraj,RCB
150,Pawan Negi,RCB
151,Umesh Yadav,RCB
152,Gurkeerat Mann,RCB
153,Devdutt Padikkal,RCB
154,Shivam Dube,RCB
155,Washington Sundar,RCB
156,Navdeep Saini,RCB
157,Aaron Finch,RCB
158,Chris Morris,RCB
159,Joshua Philippe,RCB
160,Kane Richardson,RCB
161,Pawan Deshpande,RCB
162,Isuru Udana,RCB
163,Dale Steyn,RCB
164,Shahbaz Ahamad,RCB
165,Kane Williamson,SRH
166,David Warner,SRH
167,Manish Pandey,SRH
168,Vijay Shankar,SRH
169,Rashid Khan ,SRH
170,Mohammad Nabi,SRH
171,Adhishek Sharma,SRH
172,Jonny Bairstow,SRH
173,Wriddhiman Saha,SRH
174,Shreevats Goswami,SRH
175,B Kumar,SRH
176,Khaleel Ahmed,SRH
177,Sandeep Sharma,SRH
178,Siddarth Kaul,SRH
179,Shahbaz Nadeem,SRH
180,Billy Stanlake,SRH
181,Basil Tampi,SRH
182,T Natarajan,SRH
183,Virat Singh,SRH
184,Priyam Garg,SRH
185,Mitchell Marsh,SRH
186,Sandeep Bavanaka,SRH
187,Fabian Allen,SRH
188,Abdul Samad,SRH
189,Sanjay Yadav,SRH
